movieId,title,genres,tag
124,Apollo 13 (1995),adventure drama imax,moon nasa space
125,Rob Roy (1995),action drama romance war,
126,"Addiction, The (1995)",drama horror,
127,Batman Forever (1995),action adventure comedy crime,superhero
128,Beauty of the Day (Belle de jour) (1967),drama,
129,Beyond Rangoon (1995),adventure drama war,
130,Blue in the Face (1995),comedy drama,
131,Canadian Bacon (1995),comedy war,
132,Casper (1995),adventure children,
133,Clockers (1995),crime drama mystery,
134,Congo (1995),action adventure mystery sci fi,michael crichton
135,Crimson Tide (1995),drama thriller war,submarine
136,Crumb (1994),documentary,netflix queue
137,Desperado (1995),action romance western,
138,Devil in a Blue Dress (1995),crime film noir mystery thriller,
139,Die Hard: With a Vengeance (1995),action crime thriller,
140,"Doom Generation, The (1995)",comedy crime drama,
141,First Knight (1995),action drama romance,
142,Free Willy 2: The Adventure Home (1995),adventure children drama,
143,Hackers (1995),action adventure crime thriller,
144,Jeffrey (1995),comedy drama,
145,Johnny Mnemonic (1995),action sci fi thriller,
146,Judge Dredd (1995),action crime sci fi,
147,Jury Duty (1995),comedy,
148,Kids (1995),drama,controversial new york city nudity full frontal
149,Living in Oblivion (1995),comedy,
150,Lord of Illusions (1995),horror,
151,Love & Human Remains (1993),comedy drama,
152,Mad Love (1995),drama romance,
153,Mallrats (1995),comedy romance,
154,Mighty Morphin Power Rangers: The Movie (1995),action children,
155,Mute Witness (1994),comedy horror thriller,
156,Nadja (1994),drama,
157,"Net, The (1995)",action crime thriller,computers
158,Nine Months (1995),comedy romance,
159,Party Girl (1995),comedy,
160,"Prophecy, The (1995)",fantasy horror mystery,
161,Reckless (1995),comedy fantasy,
162,Safe (1995),thriller,
163,"Scarlet Letter, The (1995)",drama romance,
164,Showgirls (1995),drama,
165,Smoke (1995),comedy drama,
166,Something to Talk About (1995),comedy drama romance,
167,Species (1995),horror sci fi,
168,Strange Days (1995),action crime drama mystery sci fi thriller,
169,"Umbrellas of Cherbourg, The (Parapluies de Cherbourg, Les) (1964)",drama musical romance,made cry
170,Three Wishes (1995),drama fantasy,
171,Total Eclipse (1995),drama romance,
172,"To Wong Foo, Thanks for Everything! Julie Newmar (1995)",comedy,
173,Under Siege 2: Dark Territory (1995),action,
174,Unstrung Heroes (1995),comedy drama,
175,Unzipped (1995),documentary,
176,"Walk in the Clouds, A (1995)",drama romance,
177,Waterworld (1995),action adventure sci fi,
178,White Man's Burden (1995),drama,
179,Wild Bill (1995),western,
180,"Browning Version, The (1994)",drama,
181,Bushwhacked (1995),adventure comedy crime mystery,
182,Burnt by the Sun (Utomlyonnye solntsem) (1994),drama,
183,Before the Rain (Pred dozhdot) (1994),drama war,
184,Before Sunrise (1995),drama romance,generation x
185,Billy Madison (1995),comedy,school adam sandler stop looking swan
186,"Babysitter, The (1995)",drama thriller,
187,Boys on the Side (1995),comedy drama,
188,"Cure, The (1995)",drama,
189,Castle Freak (1995),horror,
190,Circle of Friends (1995),drama romance,ireland
191,Clerks (1994),comedy,cynical hilarious independent film quirky witty generation x
192,Don Juan DeMarco (1995),comedy drama romance,mental illness psychology
193,Disclosure (1994),drama thriller,
194,Drop Zone (1994),action thriller,
195,Destiny Turns on the Radio (1995),comedy,
196,Death and the Maiden (1994),drama thriller,
197,Dolores Claiborne (1995),drama thriller,stephen king
198,Dumb & Dumber (Dumb and Dumber) (1994),adventure comedy,
199,Eat Drink Man Woman (Yin shi nan nu) (1994),comedy drama romance,netflix queue
200,Exotica (1994),drama,
201,Exit to Eden (1994),comedy,
202,Ed Wood (1994),comedy drama,movie business
203,French Kiss (1995),action comedy romance,
204,Forget Paris (1995),comedy romance,basketball france infertility
205,Far From Home: The Adventures of Yellow Dog (1995),adventure children,
206,"Goofy Movie, A (1995)",animation children comedy romance,
207,Hideaway (1995),thriller,
208,Fluke (1995),children drama,
209,Farinelli: il castrato (1994),drama musical,
210,Gordy (1995),children comedy fantasy,
211,Hoop Dreams (1994),documentary,basketball
212,Heavenly Creatures (1994),crime drama,australia
213,Houseguest (1994),comedy,bad sinbad
214,Immortal Beloved (1994),drama romance,beethoven
215,Heavyweights (Heavy Weights) (1995),children comedy,
216,"Hunted, The (1995)",action,
217,I.Q. (1994),comedy romance,einstein
218,Interview with the Vampire: The Vampire Chronicles (1994),drama horror,
219,Jefferson in Paris (1995),drama,
220,"Jerky Boys, The (1995)",comedy,
221,Junior (1994),comedy sci fi,
222,Just Cause (1995),mystery thriller,court
223,"Kid in King Arthur's Court, A (1995)",adventure children comedy fantasy romance,
224,Kiss of Death (1995),crime drama thriller,
225,Star Wars: Episode IV - A New Hope (1977),action adventure sci fi,classic space action sci fi epic great soundtrack engrossing adventure nerd oldie goodie star wars robots androids darth vader luke skywalker opera
226,Little Women (1994),drama,louisa may alcott
227,"Little Princess, A (1995)",children drama,england girl power india
228,Ladybird Ladybird (1994),drama,
229,Like Water for Chocolate (Como agua para chocolate) (1992),drama fantasy romance,
230,Legends of the Fall (1994),drama romance war western,
231,Major Payne (1995),comedy,
232,My Crazy Life (Mi vida loca) (1993),drama,
233,Love Affair (1994),drama romance,
234,Losing Isaiah (1995),drama,
235,"Madness of King George, The (1994)",comedy drama,england mental illness
236,Mary Shelley's Frankenstein (Frankenstein) (1994),drama horror sci fi,gothic
237,Man of the House (1995),comedy,
238,Mixed Nuts (1994),comedy,
239,Milk Money (1994),comedy romance,
240,Miracle on 34th Street (1994),drama,christmas
241,Miami Rhapsody (1995),comedy,
242,My Family (1995),drama,netflix queue
243,Murder in the First (1995),drama thriller,prison
244,Nobody's Fool (1994),comedy drama romance,
245,Nell (1994),drama,disability twins
246,New Jersey Drive (1995),crime drama,
247,New York Cop (Nyû Yôku no koppu) (1993),action crime,
248,Beyond Bedlam (1993),drama horror,
249,Nina Takes a Lover (1994),comedy romance,
250,Natural Born Killers (1994),action crime thriller,brutality controversial dark comedy psychedelic satire stylized
251,Only You (1994),comedy romance,
252,Once Were Warriors (1994),crime drama,netflix queue
253,Poison Ivy II (1996),drama thriller,
254,Outbreak (1995),action drama sci fi thriller,
255,Léon: The Professional (a.k.a. The Professional) (Léon) (1994),action crime drama thriller,assassin jean reno hit men action assassination assassins awkward romance corruption crime disturbing drama french friendship gary oldman great acting guns hitman humorous imdb top 250 lolita theme loneliness love story luc besson natalie portman organized police quirky sniper tense touching unique
256,"Perez Family, The (1995)",comedy romance,
257,"Pyromaniac's Love Story, A (1995)",comedy romance,
258,Pulp Fiction (1994),comedy crime drama thriller,good dialogue great soundtrack non linear cult film drugs quentin tarantino hit men 1990s achronological action packed aggressive amazing dialogues anthology assassin atmospheric awesome bad ass language bad ass bible biblical references big boys guns name actors black comedy humor humour blood splatters bloody bruce willis brutality casual violence character development characters classic movie coke conversation cool style crime scene scrubbing dance dancing dark different diner disjointed timeline disturbing drama drug overdose  music ensemble cast entertaining entirely episodic exciting fast paced fast paced noir film noir foul fun funny gangster gangsters genius golden watch gore acting gritty harvey keitel heroin highly quotable hitman homosexuality iconic imdb top 250 innovative intellectual intelligent intense interesting intertwining storylines interwoven ironic irony john travolta killer as protagonist los angeles mafia masterpiece meaningless milkshake mobster mobsters monologue motherfucker multiple stories neo noir nonlinear narrative storyline notable offensive organised organized original plot order palme d'or parody philosophical pop culture psychological pulp quirky r disturbing violent content including rape images r graphic sexuality r some r strong r sustained strong stylized r violence random retro roger avary royal cheese samuel l jackson sarcasm satire sexy smart writing sophisticated splatter steve buscemi storytelling stylish suspense thought provoking thriller twist ending uma thurman unique unpredictable unusual witty
259,Pushing Hands (Tui shou) (1992),drama,
260,Priest (1994),drama,
261,Quiz Show (1994),drama,tv
262,Picture Bride (Bijo photo) (1994),drama romance,
263,"Queen Margot (Reine Margot, La) (1994)",drama romance,
264,"Quick and the Dead, The (1995)",action thriller western,
265,Roommates (1995),comedy drama,
266,Ready to Wear (Pret-A-Porter) (1994),comedy,
267,Three Colors: Red (Trois couleurs: Rouge) (1994),drama,
268,Three Colors: Blue (Trois couleurs: Bleu) (1993),drama,death
269,Three Colors: White (Trzy kolory: Bialy) (1994),comedy drama,marriage cynical
270,Rent-a-Kid (1995),comedy,
271,Relative Fear (1994),horror thriller,
272,Stuart Saves His Family (1995),comedy,
273,"Swan Princess, The (1994)",animation children,
274,"Secret of Roan Inish, The (1994)",children drama fantasy mystery,
275,"Specialist, The (1994)",action drama thriller,
276,Stargate (1994),action adventure sci fi,time travel
277,"Santa Clause, The (1994)",comedy drama fantasy,christmas
278,"Shawshank Redemption, The (1994)",crime drama,prison stephen king wrongful imprisonment morgan freeman
279,Shallow Grave (1994),comedy drama thriller,
280,Suture (1993),film noir thriller,
281,Strawberry and Chocolate (Fresa y chocolate) (1993),drama,
282,Swimming with Sharks (1995),comedy drama,
283,"Sum of Us, The (1994)",comedy drama,
284,National Lampoon's Senior Trip (1995),comedy,
285,To Live (Huozhe) (1994),drama,netflix queue
286,Tank Girl (1995),action comedy sci fi,
287,Tales from the Crypt Presents: Demon Knight (1995),horror thriller,
288,Star Trek: Generations (1994),adventure drama sci fi,enterprise
289,Tales from the Hood (1995),action crime horror,
290,Tom & Viv (1994),drama,
291,Village of the Damned (1995),horror sci fi,
292,Tommy Boy (1995),comedy,
293,Vanya on 42nd Street (1994),drama,
294,Underneath (1995),mystery thriller,
295,"Walking Dead, The (1995)",drama war,
296,What's Eating Gilbert Grape (1993),drama,mental illness
297,Virtuosity (1995),action sci fi thriller,serial killer
298,While You Were Sleeping (1995),comedy romance,coma
299,"War, The (1994)",adventure drama war,
300,Double Happiness (1994),drama,
301,Muriel's Wedding (1994),comedy,australia weddings
302,"Baby-Sitters Club, The (1995)",children,
303,Ace Ventura: Pet Detective (1994),comedy,
304,"Adventures of Priscilla, Queen of the Desert, The (1994)",comedy drama,cross dressing men drag remade
305,Backbeat (1993),drama musical,
306,Bitter Moon (1992),drama film noir romance,
307,Bullets Over Broadway (1994),comedy,
308,Clear and Present Danger (1994),action crime drama thriller,tom clancy
309,"Client, The (1994)",drama mystery thriller,john grisham
310,"Corrina, Corrina (1994)",comedy drama romance,interracial romance
311,Crooklyn (1994),comedy drama,
312,"Crow, The (1994)",action crime fantasy thriller,
313,Cobb (1994),drama,
314,"Flintstones, The (1994)",children comedy fantasy,
315,Forrest Gump (1994),comedy drama romance war,shrimp vietnam bubba gump lieutenant dan stupid bittersweet emotional heartwarming touching
316,Four Weddings and a Funeral (1994),comedy romance,wedding
317,Higher Learning (1995),drama,
318,I Like It Like That (1994),comedy drama romance,
319,I Love Trouble (1994),action comedy,
320,It Could Happen to You (1994),comedy drama romance,gambling
321,"Jungle Book, The (1994)",adventure children romance,
322,"Wonderful, Horrible Life of Leni Riefenstahl, The (Macht der Bilder: Leni Riefenstahl, Die) (1993)",documentary,holocaust netflix queue
323,"Lion King, The (1994)",adventure animation children drama musical imax,disney animated feature oscar best music   original score soundtrack
324,Little Buddha (1993),drama,
325,"Wes Craven's New Nightmare (Nightmare on Elm Street Part 7: Freddy's Finale, A) (1994)",drama horror mystery thriller,
326,"Mask, The (1994)",action comedy crime fantasy,
327,Maverick (1994),adventure comedy western,
328,Mrs. Parker and the Vicious Circle (1994),drama,
329,Naked Gun 33 1/3: The Final Insult (1994),action comedy,
330,"Paper, The (1994)",comedy drama,journalism
331,Reality Bites (1994),comedy drama romance,
332,Red Rock West (1992),thriller,
333,Richie Rich (1994),children comedy,
334,"River Wild, The (1994)",action thriller,
335,Speed (1994),action romance thriller,bus
336,Speechless (1994),comedy romance,
337,Timecop (1994),action sci fi thriller,
338,True Lies (1994),action adventure comedy romance thriller,spies
339,When a Man Loves a Woman (1994),drama romance,alcoholism
340,Wolf (1994),drama horror romance thriller,
341,Wyatt Earp (1994),western,
342,Bad Company (1995),action crime drama,
343,"Man of No Importance, A (1994)",drama,
344,S.F.W. (1994),drama,
345,"Low Down Dirty Shame, A (1994)",action comedy,
346,Boys Life (1995),drama,
347,"Colonel Chabert, Le (1994)",drama romance war,
348,Faster Pussycat! Kill! Kill! (1965),action crime drama,
349,Jason's Lyric (1994),crime drama,
350,Street Fighter (1994),action adventure fantasy,
351,Highlander III: The Sorcerer (a.k.a. Highlander: The Final Dimension) (1994),action fantasy,
352,Federal Hill (1994),drama,
353,In the Mouth of Madness (1995),horror thriller,
354,8 Seconds (1994),drama,
355,Above the Rim (1994),crime drama,
356,Addams Family Values (1993),children comedy fantasy,black comedy christina ricci christopher lloyd dark family gothic
357,"Age of Innocence, The (1993)",drama,edith wharton
358,Airheads (1994),comedy,comedy
359,"Air Up There, The (1994)",comedy,
360,Another Stakeout (1993),comedy thriller,
361,Bad Girls (1994),western,
362,Barcelona (1994),comedy romance,
363,Being Human (1993),drama,
364,"Beverly Hillbillies, The (1993)",comedy,
365,Beverly Hills Cop III (1994),action comedy crime thriller,
366,Black Beauty (1994),adventure children drama,horses
367,Blink (1994),thriller,
368,Blown Away (1994),action thriller,
369,Blue Chips (1994),drama,
370,Blue Sky (1994),drama romance,mental illness oscar best actress
371,Body Snatchers (1993),horror sci fi thriller,
372,Boxing Helena (1993),drama mystery romance thriller,
373,"Bronx Tale, A (1993)",drama,
374,Cabin Boy (1994),comedy,
375,Calendar Girl (1993),comedy drama,
376,Carlito's Way (1993),crime drama,al pacino gangster mafia
377,City Slickers II: The Legend of Curly's Gold (1994),adventure comedy western,
378,Clean Slate (1994),comedy,
379,Cliffhanger (1993),action adventure thriller,
380,Coneheads (1993),comedy sci fi,
381,Color of Night (1994),drama thriller,
382,Cops and Robbersons (1994),comedy,
383,"Cowboy Way, The (1994)",action comedy drama,
384,Dave (1993),comedy romance,president
385,Dazed and Confused (1993),comedy,
386,Demolition Man (1993),action adventure sci fi,
387,Even Cowgirls Get the Blues (1993),comedy romance,
388,Fatal Instinct (1993),comedy,
389,Farewell My Concubine (Ba wang bie ji) (1993),drama romance,
390,Fearless (1993),drama,
391,Fear of a Black Hat (1994),comedy,
392,With Honors (1994),comedy drama,
393,Flesh and Bone (1993),drama mystery romance,
394,Widows' Peak (1994),drama,
395,For Love or Money (1993),comedy romance,
396,"Firm, The (1993)",drama thriller,john grisham
397,Free Willy (1993),adventure children drama,
398,Fresh (1994),crime drama thriller,
399,"Fugitive, The (1993)",thriller,based tv show
400,Geronimo: An American Legend (1993),drama western,
401,"Getaway, The (1994)",action adventure crime drama romance thriller,
402,Getting Even with Dad (1994),comedy,
403,Go Fish (1994),drama romance,
404,Hard Target (1993),action adventure crime thriller,
405,Hot Shots! Part Deux (1993),action comedy war,
406,Live Nude Girls (1995),comedy,
407,"Englishman Who Went Up a Hill But Came Down a Mountain, The (1995)",comedy romance,
408,"House of the Spirits, The (1993)",drama romance,
409,House Party 3 (1994),comedy,
410,"Hudsucker Proxy, The (1994)",comedy,hula hoop
411,I'll Do Anything (1994),comedy drama,
412,In the Army Now (1994),comedy war,
413,In the Line of Fire (1993),action thriller,assassination
414,In the Name of the Father (1993),drama,ireland
415,"Inkwell, The (1994)",comedy drama,
416,What's Love Got to Do with It? (1993),drama musical,biopic
417,Jimmy Hollywood (1994),comedy crime drama,
418,Judgment Night (1993),action crime thriller,
419,Jurassic Park (1993),action adventure sci fi thriller,dinosaur
420,Kalifornia (1993),drama thriller,
421,Killing Zoe (1994),crime drama thriller,
422,Lassie (1994),adventure children,
423,Last Action Hero (1993),action adventure comedy fantasy,
424,Life with Mikey (1993),comedy,
425,Lightning Jack (1994),comedy western,
426,M. Butterfly (1993),drama romance,japan sexuality
427,Made in America (1993),comedy,
428,Malice (1993),thriller,
429,"Man Without a Face, The (1993)",drama,
430,Manhattan Murder Mystery (1993),comedy mystery,
431,Menace II Society (1993),action crime drama,
432,Executive Decision (1996),action adventure thriller,
433,In the Realm of the Senses (Ai no corrida) (1976),drama,
434,What Happened Was... (1994),comedy drama romance thriller,
435,Much Ado About Nothing (1993),comedy romance,shakespeare
436,Mr. Wonderful (1993),comedy romance,
437,Mrs. Doubtfire (1993),comedy drama,cross dressing divorce men drag
438,Naked (1993),drama,
439,"Next Karate Kid, The (1994)",action children romance,
440,No Escape (1994),action drama sci fi,
441,North (1994),comedy,
442,Orlando (1992),drama fantasy romance,
443,"Perfect World, A (1993)",crime drama thriller,
444,Philadelphia (1993),drama,aids
445,"Piano, The (1993)",drama romance,
446,Poetic Justice (1993),drama,
447,"Program, The (1993)",action drama,
448,"Puppet Masters, The (1994)",horror sci fi,
449,Radioland Murders (1994),comedy mystery romance,radio show business
450,"Ref, The (1994)",comedy,
451,"Remains of the Day, The (1993)",drama romance,butler housekeeper
452,Renaissance Man (1994),comedy drama,military
453,Rising Sun (1993),action drama mystery,
454,"Road to Wellville, The (1994)",comedy,
455,RoboCop 3 (1993),action crime drama sci fi thriller,
456,Robin Hood: Men in Tights (1993),comedy,
457,Romeo Is Bleeding (1993),crime thriller,
458,Romper Stomper (1992),action drama,australia racism violence
459,Ruby in Paradise (1993),drama,
460,Rudy (1993),drama,football
461,"Savage Nights (Nuits fauves, Les) (1992)",drama,
462,Schindler's List (1993),drama war,moving thought provoking holocaust based true story biography disturbing
463,"Scout, The (1994)",comedy drama,
464,Searching for Bobby Fischer (1993),drama,chess
465,"Secret Garden, The (1993)",children drama,netflix queue
466,Serial Mom (1994),comedy crime horror,
467,"Shadow, The (1994)",action adventure fantasy mystery,
468,Shadowlands (1993),drama romance,cs lewis
469,Short Cuts (1993),drama,large cast
470,"Simple Twist of Fate, A (1994)",drama,
471,Sirens (1994),drama,
472,Six Degrees of Separation (1993),drama,race
473,Sleepless in Seattle (1993),comedy drama romance,empire state building
474,Sliver (1993),thriller,bad
475,Blade Runner (1982),action sci fi thriller,sci fi robots androids artificial intelligence atmospheric cyberpunk future mindfuck philip k dick dreamlike existentialism philosophical
476,Son in Law (1993),comedy drama romance,
477,So I Married an Axe Murderer (1993),comedy romance thriller,beat poetry
478,Striking Distance (1993),action crime,
479,Super Mario Bros. (1993),action adventure children comedy fantasy sci fi,
480,Surviving the Game (1994),action adventure thriller,
481,Terminal Velocity (1994),action mystery thriller,
482,Thirty-Two Short Films About Glenn Gould (1993),drama musical,
483,Threesome (1994),comedy romance,
484,"Nightmare Before Christmas, The (1993)",animation children fantasy musical,christmas halloween
485,"Three Musketeers, The (1993)",action adventure comedy romance,knights
486,Tombstone (1993),action drama western,
487,True Romance (1993),crime thriller,
488,"War Room, The (1993)",documentary,politics
489,"Pagemaster, The (1994)",action adventure animation children fantasy,
490,Welcome to the Dollhouse (1995),comedy drama,adolescence
491,Germinal (1993),drama romance,
492,Chasers (1994),comedy,
493,Kika (1993),comedy drama,
494,Bhaji on the Beach (1993),comedy drama,
495,Little Big League (1994),comedy drama,
496,"Ciao, Professore! (Io speriamo che me la cavo) (1992)",drama,
497,Spanking the Monkey (1994),comedy drama,
498,"Little Rascals, The (1994)",children comedy,
499,Andre (1994),adventure children drama,
500,"Escort, The (Scorta, La) (1993)",crime thriller,
501,Princess Caraboo (1994),drama,
502,"Celluloid Closet, The (1995)",documentary,
503,Dear Diary (Caro Diario) (1994),comedy drama,
504,"Brady Bunch Movie, The (1995)",comedy,
505,Home Alone (1990),children comedy,christmas
506,Ghost (1990),comedy drama fantasy romance thriller,overrated
507,Aladdin (1992),adventure animation children comedy musical,disney
508,Terminator 2: Judgment Day (1991),action sci fi,apocalypse arnold schwarzenegger nuclear war sci fi suspense time travel robots scifi masterpiece
509,Dances with Wolves (1990),adventure drama western,american indians native americans
510,Batman (1989),action crime thriller,superhero
511,"Silence of the Lambs, The (1991)",crime horror thriller,hannibal lector disturbing drama gothic psychology suspense
512,Snow White and the Seven Dwarfs (1937),animation children drama fantasy musical,disney
513,Beauty and the Beast (1991),animation children fantasy musical romance imax,disney
514,Pinocchio (1940),animation children fantasy musical,disney
515,Pretty Woman (1990),comedy romance,prostitution
516,"Wild Bunch, The (1969)",adventure western,
517,Love and a .45 (1994),action comedy crime,
518,"Great Day in Harlem, A (1994)",documentary,
519,One Fine Day (1996),drama romance,
520,Candyman: Farewell to the Flesh (1995),fantasy horror,
521,Fargo (1996),comedy crime drama thriller,based true story dark comedy kidnapping steve buscemi coen brothers
522,Homeward Bound II: Lost in San Francisco (1996),adventure children,
523,Heavy Metal (1981),action adventure animation horror sci fi,
524,Hellraiser: Bloodline (1996),action horror sci fi,
525,"Pallbearer, The (1996)",comedy,
526,Jane Eyre (1996),drama romance,
527,Bread and Chocolate (Pane e cioccolata) (1973),comedy drama,
528,"Aristocats, The (1970)",animation children,disney
529,"Flower of My Secret, The (La flor de mi secreto) (1995)",comedy drama,
530,Two Much (1995),comedy romance,
531,Ed (1996),comedy,
532,"Thin Line Between Love and Hate, A (1996)",comedy,
533,"Last Supper, The (1995)",drama thriller,
534,Primal Fear (1996),crime drama mystery thriller,edward norton psychology suspense thought provoking twist ending priest
535,All Dogs Go to Heaven 2 (1996),adventure animation children fantasy musical romance,
536,Land and Freedom (Tierra y libertad) (1995),drama war,
537,Denise Calls Up (1995),comedy,
538,Theodore Rex (1995),comedy,
539,"Family Thing, A (1996)",comedy drama,
540,Frisk (1995),drama,
541,Sgt. Bilko (1996),comedy,
542,Jack and Sarah (1995),romance,babies
543,Girl 6 (1996),comedy drama,
544,Diabolique (1996),drama thriller,
545,Nelly & Monsieur Arnaud (1995),drama,
546,Courage Under Fire (1996),action crime drama war,gulf war
547,Mission: Impossible (1996),action adventure mystery thriller,based tv show
548,Cold Fever (Á köldum klaka) (1995),comedy drama,
549,Moll Flanders (1996),drama,
550,Dragonheart (1996),action adventure fantasy,
551,Eddie (1996),comedy,
552,James and the Giant Peach (1996),adventure animation children fantasy musical,
553,Fear (1996),thriller,
554,Kids in the Hall: Brain Candy (1996),comedy,
555,Underground (1995),comedy drama war,
